,period_begin,period_end,duration,total_homes_sold,median_sale_price,median_days_to_close,price_drops,percent_active_listings_with_price_drops,pending_sales,total_new_listings,average_new_listings,median_new_listing_price,inventory,total_active_listings,age_of_inventory,homes_delisted,median_active_list_price,avg_offer_to_list,median_days_on_market,months_of_supply,percent_total_price_drops_of_inventory
383723,2019-02-18,2019-02-24,1 weeks,325.0,189500.0,28.0,317.0,0.045968677494199535,276.0,615.0,615.0,239900.0,6395.0,6896.0,66.0,111.0,219900.0,0.9684000144296104,47.0,21.21846153846154,0.04956997654417514
383726,2018-12-03,2018-12-09,1 weeks,413.0,189900.0,34.0,329.0,0.047249748671549616,307.0,450.0,450.0,199000.0,6425.0,6963.0,69.0,156.0,210000.0,0.9733842694910854,30.0,16.859564164648912,0.05120622568093385
383729,2020-09-28,2020-10-04,1 weeks,794.0,247500.0,30.0,456.0,0.06118341607406413,515.0,788.0,788.0,269350.0,6676.0,7453.0,46.0,179.0,290000.0,0.9839928853642848,32.0,9.386649874055417,0.0683043738765728
383751,2018-03-05,2018-03-11,1 weeks,308.0,179900.0,31.0,287.0,0.03848216680075088,449.0,643.0,643.0,219000.0,6729.0,7458.0,55.0,131.0,204900.0,0.9745757188915408,52.0,24.214285714285715,0.04265121117550899
383770,2018-05-07,2018-05-13,1 weeks,506.0,180000.0,35.0,385.0,0.05076476793248945,504.0,852.0,852.0,224700.0,6877.0,7584.0,46.0,113.0,222500.0,0.9773076765450258,34.0,14.988142292490119,0.05598371382870438
449797,2018-07-02,2018-07-08,1 weeks,360.0,216250.0,39.0,298.0,0.040816326530612235,413.0,524.0,524.0,190000.0,6738.0,7301.0,54.0,84.0,226950.0,0.98360351414031,28.0,20.280555555555555,0.044226773523300685
449806,2018-12-31,2019-01-06,1 weeks,282.0,193750.0,34.0,252.0,0.03936884861740352,154.0,397.0,397.0,199900.0,5915.0,6401.0,80.0,266.0,209900.0,0.9448313183933562,36.0,22.69858156028369,0.042603550295858
449844,2020-07-06,2020-07-12,1 weeks,495.0,240000.0,29.0,410.0,0.057495442434441164,430.0,785.0,785.0,269900.0,6438.0,7131.0,47.0,119.0,274900.0,1.01030032824657,39.5,14.406060606060604,0.06368437402920163
449845,2020-04-06,2020-04-12,1 weeks,271.0,240000.0,31.0,91.0,0.014947437582128778,158.0,235.0,235.0,219000.0,5795.0,6088.0,59.0,90.0,249900.0,0.9793103448275862,34.0,22.464944649446494,0.015703192407247626
449850,2019-02-25,2019-03-03,1 weeks,560.0,186025.0,27.0,328.0,0.04609331084879146,353.0,741.0,741.0,239999.5,6467.0,7116.0,55.0,151.0,224900.0,0.9794749364603621,53.5,12.707142857142856,0.050719035101283436
449867,2018-05-28,2018-06-03,1 weeks,782.0,211250.0,36.0,486.0,0.06418383518225039,460.0,749.0,749.0,225000.0,6817.0,7572.0,48.0,184.0,227800.0,0.9698722358384324,30.0,9.682864450127877,0.07129235734193927
449879,2018-04-30,2018-05-06,1 weeks,674.0,208500.0,35.0,397.0,0.05263855741182711,524.0,849.0,849.0,239900.0,6753.0,7542.0,48.0,158.0,219900.0,0.9564029009371312,33.0,11.18991097922849,0.05878868650969939
449898,2019-05-13,2019-05-19,1 weeks,582.0,234000.0,30.0,536.0,0.06479690522243714,460.0,883.0,883.0,238000.0,7615.0,8272.0,46.0,109.0,249900.0,0.9801846408448904,34.0,14.213058419243984,0.07038739330269203
449919,2018-05-21,2018-05-27,1 weeks,605.0,220000.0,37.0,346.0,0.045986177565124936,486.0,649.0,649.0,214900.0,6836.0,7524.0,48.0,108.0,225000.0,0.9696948313327898,27.0,12.436363636363636,0.050614394382679916
